GeneID	ExpressionLevel
AT1G04047	1.7608695652173914
AT1G04050	2.6363636363636362
AT1G04053	0.35000000000000003
AT1G04067	0.2
AT1G04070	15.316363636363636
AT1G04073	1.0545454545454547
AT1G04080	51.57818181818182
AT1G04083	1.1972972972972973
AT1G04087	0.8
AT1G04090	1.0471698113207548
AT1G04093	0.4137931034482759
AT1G04097	0.4928571428571429
AT1G04100	3.5636363636363635
AT1G04103	0.2444444444444444
AT1G04105	0.2
AT1G04110	5.024
AT1G04117	0.23636363636363636
AT1G04120	31.98181818181818
AT1G04123	0.36
AT1G04127	0.6846153846153845
AT1G04130	10.42
AT1G04133	0.1
AT1G04137	0.26666666666666666
AT1G04140	55.58181818181818
AT1G04143	0.5
AT1G04147	1.0702702702702702
AT1G04150	0.5904761904761905
AT1G04153	0.4058823529411764
AT1G04157	0.9750000000000001
AT1G04160	5.674545454545455
AT1G04167	0.25
AT1G04170	86.47272727272727
AT1G04173	1.1357142857142857
AT1G04177	0.2
AT1G04180	2.459090909090909
AT1G04183	0.13
AT1G04187	5.257446808510638
AT1G04190	35.78363636363636
AT1G04193	5.113513513513513
AT1G04197	2.9148936170212765
AT1G04200	17.765454545454546
AT1G04207	0.8
AT1G04210	26.78181818181818
AT1G04217	8.970588235294118
AT1G04220	6.412962962962963
AT1G04223	9.36595744680851
AT1G04230	8.963636363636363
AT1G04237	1.2256410256410255
AT1G04240	23.462962962962962
AT1G04243	0.55
AT1G04247	1.3454545454545455
AT1G04250	63.47636363636364
AT1G04253	0.5
AT1G04257	0.65
AT1G04260	16.98181818181818
AT1G04263	51.142857142857146
AT1G04267	5.270833333333333
AT1G04270	518.3909090909091
AT1G04273	22.14313725490196
AT1G04277	14.21764705882353
AT1G04280	24.296296296296298
AT1G04287	0.25
AT1G04290	4.274545454545454
AT1G04293	6.56
AT1G04297	0.3939393939393939
AT1G04300	36.472727272727276
AT1G04303	1.2090909090909092
AT1G04310	7.6018181818181825
AT1G04313	2.4416666666666664
AT1G04320	0.3
AT1G04323	3.088888888888889
AT1G04330	2.2416666666666667
AT1G04337	0.30000000000000004
AT1G04340	31.945454545454545
AT1G04347	0.8585365853658538
AT1G04350	34.19818181818182
AT1G04353	0.19
AT1G04357	1.0541666666666667
AT1G04360	4.425925925925926
AT1G04367	0.45714285714285713
AT1G04370	0.305
AT1G04373	0.5
AT1G04380	0.2837209302325581
AT1G04383	0.4
AT1G04387	0.27999999999999997
AT1G04390	5.8
AT1G04393	0.42857142857142855
AT1G04397	0.1
AT1G04400	94.84
AT1G04403	0.475
AT1G04407	0.26666666666666666
AT1G04410	760.3563636363637
AT1G04413	0.3739130434782609
AT1G04417	0.5117647058823529
AT1G04420	103.36363636363636
AT1G04423	2.5023255813953487
AT1G04425	14.200000000000001
AT1G04427	0.7099999999999999
